mmsi,base_date_time,longitude,latitude,sog,cog,heading,vessel_name,imo,call_sign,vessel_type,status,length,width,draft,cargo,transceiver,slick_id,prev_lat,prev_lon,prev_time,time_diff_seconds,distance_m,movement_bearing,trajectory_start,segment_speed_knots
209053121,2026-09-03 23:00:00+00:00,72.637631,19.114717,20.1,245.0,244.0,FV WESTERN STAR_38,IMO3093190,OL4161,Passenger,Underway Using Engine,110.1,26.5,8.2,,A,sentinel_10,,,,,,,True,
209053121,2026-09-03 23:03:30+00:00,72.618957,19.106487,19.8,245.6,245.0,FV WESTERN STAR_38,IMO3093190,OL4161,Passenger,Underway Using Engine,110.1,26.5,8.2,,A,sentinel_10,19.114717,72.637631,2026-09-03 23:00:00+00:00,210.0,2165.8357893795405,245.12894714759932,False,20.04780114679774
209053121,2026-09-03 23:08:22+00:00,72.593221,19.095462,19.8,244.7,244.0,FV WESTERN STAR_38,IMO3093190,OL4161,Passenger,Underway Using Engine,110.1,26.5,8.2,,A,sentinel_10,19.106487,72.618957,2026-09-03 23:03:30+00:00,292.0,2970.432850966098,245.74615849013514,False,19.774130798020344
209053121,2026-09-03 23:11:47+00:00,72.575265,19.087436,20.3,243.7,243.0,FV WESTERN STAR_38,IMO3093190,OL4161,Passenger,Underway Using Engine,110.1,26.5,8.2,,A,sentinel_10,19.095462,72.593221,2026-09-03 23:08:22+00:00,205.0,2088.0227966846533,244.8215412169278,False,19.798937722475593
209053121,2026-09-03 23:13:14+00:00,72.567573,19.083844,20.3,243.3,243.0,FV WESTERN STAR_38,IMO3093190,OL4161,Passenger,Underway Using Engine,110.1,26.5,8.2,,A,sentinel_10,19.087436,72.575265,2026-09-03 23:11:47+00:00,87.0,901.8696720888778,243.8416898121058,False,20.150463717163724
209053121,2026-09-03 23:15:00+00:00,72.558152,19.079358,20.4,243.7,243.0,FV WESTERN STAR_38,IMO3093190,OL4161,Passenger,Underway Using Engine,110.1,26.5,8.2,,A,sentinel_10,19.083844,72.567573,2026-09-03 23:13:14+00:00,106.0,1108.8717124219188,243.3979788830346,False,20.334614995039836
209053121,2026-09-03 23:16:42+00:00,72.549004,19.075092,20.7,243.9,243.0,FV WESTERN STAR_38,IMO3093190,OL4161,Passenger,Underway Using Engine,110.1,26.5,8.2,,A,sentinel_10,19.079358,72.558152,2026-09-03 23:15:00+00:00,102.0,1072.3370630360123,243.87452516563852,False,20.43580075109728
209053121,2026-09-03 23:21:26+00:00,72.523217,19.063156,21.1,244.6,244.0,FV WESTERN STAR_38,IMO3093190,OL4161,Passenger,Underway Using Engine,110.1,26.5,8.2,,A,sentinel_10,19.075092,72.549004,2026-09-03 23:16:42+00:00,284.0,3018.5548351284706,244.0467994949325,False,20.660519826465233
209053121,2026-09-03 23:23:32+00:00,72.511513,19.057909,20.6,245.3,245.0,FV WESTERN STAR_38,IMO3093190,OL4161,Passenger,Underway Using Engine,110.1,26.5,8.2,,A,sentinel_10,19.063156,72.523217,2026-09-03 23:21:26+00:00,126.0,1361.9437991131508,244.75923938743415,False,21.011117733873864
218087708,2026-09-03 23:00:00+00:00,72.812609,19.022117,13.0,207.6,207.0,MT ARABIAN KNIGHT_62,IMO8890587,GX3075,Tanker,Underway Using Engine,204.3,33.4,13.8,70.0,A,sentinel_10,,,,,,,True,
